📝 Logging started: mobilenet_v2_pdt_20260218_060318.log
✅ CIFAR-100 Data loaded: Train(50000), Val/Test(10000)
Experimental Mode: N/A
Target Model: mobilenet_v2 | Dataset: cifar100

[Stage 1] Analyzing MobileNet InvertedResidual Topology for mobilenetv2...
[*] MobileNet: 17 inverted residual groups found.

==================== Final Topology Groups ====================
 Group  1 | Channels:   32 | Layers: features.1.conv.0.0 ... (2 layers)
 Group  2 | Channels:   96 | Layers: features.2.conv.0.0 ... (3 layers)
 Group  3 | Channels:  144 | Layers: features.3.conv.0.0 ... (3 layers)
 Group  4 | Channels:  144 | Layers: features.4.conv.0.0 ... (3 layers)
 Group  5 | Channels:  192 | Layers: features.5.conv.0.0 ... (3 layers)
 Group  6 | Channels:  192 | Layers: features.6.conv.0.0 ... (3 layers)
 Group  7 | Channels:  192 | Layers: features.7.conv.0.0 ... (3 layers)
 Group  8 | Channels:  384 | Layers: features.8.conv.0.0 ... (3 layers)
 Group  9 | Channels:  384 | Layers: features.9.conv.0.0 ... (3 layers)
 Group 10 | Channels:  384 | Layers: features.10.conv.0.0 ... (3 layers)
 Group 11 | Channels:  384 | Layers: features.11.conv.0.0 ... (3 layers)
 Group 12 | Channels:  576 | Layers: features.12.conv.0.0 ... (3 layers)
 Group 13 | Channels:  576 | Layers: features.13.conv.0.0 ... (3 layers)
 Group 14 | Channels:  576 | Layers: features.14.conv.0.0 ... (3 layers)
 Group 15 | Channels:  960 | Layers: features.15.conv.0.0 ... (3 layers)
 Group 16 | Channels:  960 | Layers: features.16.conv.0.0 ... (3 layers)
 Group 17 | Channels:  960 | Layers: features.17.conv.0.0 ... (3 layers)
===============================================================
[*] Total 17 groups identified.


[Pruner Init] Identified 17 groups for pruning.
[*] Applied Min Survival Guarantee: 10.0%
[System] Initializing PDTPruner (Stable Version)

>>> Strategy: PDT | Total Epochs: 300
>>> Pruning starts at Epoch 100, every 15 epochs.
Epoch 1/300 | Loss: 4.6321 | Val Acc: 2.19% | Peak VRAM: 137.97 MB
Epoch 2/300 | Loss: 4.4549 | Val Acc: 4.60% | Peak VRAM: 137.97 MB
Epoch 3/300 | Loss: 4.1066 | Val Acc: 9.50% | Peak VRAM: 137.97 MB
Epoch 4/300 | Loss: 3.8668 | Val Acc: 11.82% | Peak VRAM: 137.97 MB
Epoch 5/300 | Loss: 3.7088 | Val Acc: 14.53% | Peak VRAM: 137.97 MB
Epoch 6/300 | Loss: 3.5873 | Val Acc: 17.17% | Peak VRAM: 137.97 MB
Epoch 7/300 | Loss: 3.4746 | Val Acc: 19.31% | Peak VRAM: 137.97 MB
Epoch 8/300 | Loss: 3.3889 | Val Acc: 20.55% | Peak VRAM: 137.97 MB
Epoch 9/300 | Loss: 3.2998 | Val Acc: 22.77% | Peak VRAM: 137.97 MB
Epoch 10/300 | Loss: 3.2206 | Val Acc: 23.80% | Peak VRAM: 137.97 MB
Epoch 11/300 | Loss: 3.1483 | Val Acc: 25.54% | Peak VRAM: 137.97 MB
Epoch 12/300 | Loss: 3.0739 | Val Acc: 26.32% | Peak VRAM: 137.97 MB
Epoch 13/300 | Loss: 3.0167 | Val Acc: 27.03% | Peak VRAM: 137.97 MB
Epoch 14/300 | Loss: 2.9474 | Val Acc: 28.05% | Peak VRAM: 137.97 MB
Epoch 15/300 | Loss: 2.8971 | Val Acc: 29.77% | Peak VRAM: 137.97 MB
Epoch 16/300 | Loss: 2.8398 | Val Acc: 30.29% | Peak VRAM: 137.97 MB
Epoch 17/300 | Loss: 2.7856 | Val Acc: 31.23% | Peak VRAM: 137.97 MB
Epoch 18/300 | Loss: 2.7213 | Val Acc: 32.87% | Peak VRAM: 137.97 MB
Epoch 19/300 | Loss: 2.6681 | Val Acc: 33.44% | Peak VRAM: 137.97 MB
Epoch 20/300 | Loss: 2.6189 | Val Acc: 33.94% | Peak VRAM: 137.97 MB
Epoch 21/300 | Loss: 2.5686 | Val Acc: 34.63% | Peak VRAM: 137.97 MB
Epoch 22/300 | Loss: 2.5214 | Val Acc: 35.18% | Peak VRAM: 137.97 MB
Epoch 23/300 | Loss: 2.4831 | Val Acc: 37.01% | Peak VRAM: 137.97 MB
Epoch 24/300 | Loss: 2.4371 | Val Acc: 35.83% | Peak VRAM: 137.97 MB
Epoch 25/300 | Loss: 2.3976 | Val Acc: 37.18% | Peak VRAM: 137.97 MB
Epoch 26/300 | Loss: 2.3713 | Val Acc: 37.31% | Peak VRAM: 137.97 MB
Epoch 27/300 | Loss: 2.3280 | Val Acc: 37.01% | Peak VRAM: 137.97 MB
Epoch 28/300 | Loss: 2.2940 | Val Acc: 38.54% | Peak VRAM: 137.97 MB
Epoch 29/300 | Loss: 2.2713 | Val Acc: 39.23% | Peak VRAM: 137.97 MB
Epoch 30/300 | Loss: 2.2351 | Val Acc: 38.36% | Peak VRAM: 137.97 MB
Epoch 31/300 | Loss: 2.2055 | Val Acc: 40.12% | Peak VRAM: 137.97 MB
Epoch 32/300 | Loss: 2.1680 | Val Acc: 39.86% | Peak VRAM: 137.97 MB
Epoch 33/300 | Loss: 2.1563 | Val Acc: 39.44% | Peak VRAM: 137.97 MB
Epoch 34/300 | Loss: 2.1327 | Val Acc: 41.49% | Peak VRAM: 137.97 MB
Epoch 35/300 | Loss: 2.0881 | Val Acc: 40.77% | Peak VRAM: 137.97 MB
Epoch 36/300 | Loss: 2.0699 | Val Acc: 41.34% | Peak VRAM: 137.97 MB
Epoch 37/300 | Loss: 2.0467 | Val Acc: 41.29% | Peak VRAM: 137.97 MB
Epoch 38/300 | Loss: 2.0129 | Val Acc: 41.51% | Peak VRAM: 137.97 MB
Epoch 39/300 | Loss: 1.9910 | Val Acc: 42.20% | Peak VRAM: 137.97 MB
