📝 Logging started: vit_tiny_patch16_224_pdt_20260306_024138.log
>>> [System] ViT detected. Input size forced to 224 for dataloader.
✅ CIFAR-100 Data loaded: Train(50000), Val/Test(10000)
Experimental Mode: N/A
Target Model: vit_tiny_patch16_224 | Dataset: cifar100
>>> [Model] Loading Vision Transformer for Hessian Analysis: vit_tiny_patch16_224

[Stage 1] Analyzing ViT Block-wise Topology for visiontransformer...
[*] ViT: 12 transformer blocks identified for grouping.

==================== Final Topology Groups ====================
 Group  1 | Channels:  576 | Layers: blocks.0.attn.proj ... (4 layers)
 Group  2 | Channels:  576 | Layers: blocks.1.attn.proj ... (4 layers)
 Group  3 | Channels:  576 | Layers: blocks.2.attn.proj ... (4 layers)
 Group  4 | Channels:  576 | Layers: blocks.3.attn.proj ... (4 layers)
 Group  5 | Channels:  576 | Layers: blocks.4.attn.proj ... (4 layers)
 Group  6 | Channels:  576 | Layers: blocks.5.attn.proj ... (4 layers)
 Group  7 | Channels:  576 | Layers: blocks.6.attn.proj ... (4 layers)
 Group  8 | Channels:  576 | Layers: blocks.7.attn.proj ... (4 layers)
 Group  9 | Channels:  576 | Layers: blocks.8.attn.proj ... (4 layers)
 Group 10 | Channels:  576 | Layers: blocks.9.attn.proj ... (4 layers)
 Group 11 | Channels:  576 | Layers: blocks.10.attn.proj ... (4 layers)
 Group 12 | Channels:  576 | Layers: blocks.11.attn.proj ... (4 layers)
===============================================================
[*] Total 12 groups identified.


[Pruner Init] Identified 12 groups for pruning.
[*] Applied Min Survival Guarantee: 40.0%
[System] Initializing ViTPDTPruner for vit_tiny_patch16_224

>>> Strategy: PDT | Total Epochs: 300
>>> Pruning starts at Epoch 100, every 50 epochs.
Epoch 1/300 | Loss: 4.5405 | Val Acc: 8.37% | Peak VRAM: 4506.89 MB
Epoch 2/300 | Loss: 3.5972 | Val Acc: 27.30% | Peak VRAM: 4506.89 MB
Epoch 3/300 | Loss: 2.6738 | Val Acc: 43.65% | Peak VRAM: 4506.89 MB
Epoch 4/300 | Loss: 2.0592 | Val Acc: 54.13% | Peak VRAM: 4506.89 MB
Epoch 5/300 | Loss: 1.6710 | Val Acc: 60.77% | Peak VRAM: 4506.89 MB
Epoch 6/300 | Loss: 1.4155 | Val Acc: 65.80% | Peak VRAM: 4506.89 MB
Epoch 7/300 | Loss: 1.2380 | Val Acc: 68.96% | Peak VRAM: 4506.89 MB
Epoch 8/300 | Loss: 1.1070 | Val Acc: 71.56% | Peak VRAM: 4506.89 MB
Epoch 9/300 | Loss: 1.0086 | Val Acc: 73.17% | Peak VRAM: 4506.89 MB
Epoch 10/300 | Loss: 0.9307 | Val Acc: 74.61% | Peak VRAM: 4506.89 MB
Epoch 11/300 | Loss: 0.8702 | Val Acc: 75.91% | Peak VRAM: 4506.89 MB
Epoch 12/300 | Loss: 0.8165 | Val Acc: 76.86% | Peak VRAM: 4506.89 MB
Epoch 13/300 | Loss: 0.7728 | Val Acc: 77.77% | Peak VRAM: 4506.89 MB
Epoch 14/300 | Loss: 0.7367 | Val Acc: 78.53% | Peak VRAM: 4506.89 MB
Epoch 15/300 | Loss: 0.7073 | Val Acc: 79.01% | Peak VRAM: 4506.89 MB
Epoch 16/300 | Loss: 0.6781 | Val Acc: 79.31% | Peak VRAM: 4506.89 MB
Epoch 17/300 | Loss: 0.6519 | Val Acc: 79.78% | Peak VRAM: 4506.89 MB
Epoch 18/300 | Loss: 0.6328 | Val Acc: 80.16% | Peak VRAM: 4506.89 MB
Epoch 19/300 | Loss: 0.6125 | Val Acc: 80.55% | Peak VRAM: 4506.89 MB
Epoch 20/300 | Loss: 0.5956 | Val Acc: 80.88% | Peak VRAM: 4506.89 MB
Epoch 21/300 | Loss: 0.5754 | Val Acc: 81.04% | Peak VRAM: 4506.89 MB
Epoch 22/300 | Loss: 0.5612 | Val Acc: 81.31% | Peak VRAM: 4506.89 MB
Epoch 23/300 | Loss: 0.5472 | Val Acc: 81.46% | Peak VRAM: 4506.89 MB
Epoch 24/300 | Loss: 0.5341 | Val Acc: 81.79% | Peak VRAM: 4506.89 MB
Epoch 25/300 | Loss: 0.5215 | Val Acc: 82.08% | Peak VRAM: 4506.89 MB
Epoch 26/300 | Loss: 0.5083 | Val Acc: 82.17% | Peak VRAM: 4506.89 MB
Epoch 27/300 | Loss: 0.4984 | Val Acc: 82.38% | Peak VRAM: 4506.89 MB
Epoch 28/300 | Loss: 0.4873 | Val Acc: 82.67% | Peak VRAM: 4506.89 MB
Epoch 29/300 | Loss: 0.4776 | Val Acc: 82.70% | Peak VRAM: 4506.89 MB
Epoch 30/300 | Loss: 0.4692 | Val Acc: 82.65% | Peak VRAM: 4506.89 MB
Epoch 31/300 | Loss: 0.4616 | Val Acc: 82.92% | Peak VRAM: 4506.89 MB
Epoch 32/300 | Loss: 0.4507 | Val Acc: 83.17% | Peak VRAM: 4506.89 MB
Epoch 33/300 | Loss: 0.4413 | Val Acc: 83.40% | Peak VRAM: 4506.89 MB
Epoch 34/300 | Loss: 0.4362 | Val Acc: 83.42% | Peak VRAM: 4506.89 MB
Epoch 35/300 | Loss: 0.4279 | Val Acc: 83.46% | Peak VRAM: 4506.89 MB
Epoch 36/300 | Loss: 0.4197 | Val Acc: 83.58% | Peak VRAM: 4506.89 MB
Epoch 37/300 | Loss: 0.4115 | Val Acc: 83.64% | Peak VRAM: 4506.89 MB
Epoch 38/300 | Loss: 0.4040 | Val Acc: 83.69% | Peak VRAM: 4506.89 MB
