1773899509.600969 server started (4143): version 3.6, socket /tmp/tmux-1001/default, protocol 8
1773899509.600980 on Linux 5.15.0-139-generic #149~20.04.1-Ubuntu SMP Wed Apr 16 08:29:56 UTC 2025
1773899509.600984 using libevent 2.1.12-stable poll
1773899509.600986 using ncurses 6.5 20240427
1773899509.601024 input_key_build: 0x10e003 (PasteStart) is \033[200~
1773899509.601027 input_key_build: 0x10e004 (PasteEnd) is \033[201~
1773899509.601029 input_key_build: 0x10e25b (F1) is \033OP
1773899509.601031 input_key_build: 0x10e25c (F2) is \033OQ
1773899509.601033 input_key_build: 0x10e25d (F3) is \033OR
1773899509.601034 input_key_build: 0x10e25e (F4) is \033OS
1773899509.601036 input_key_build: 0x10e25f (F5) is \033[15~
1773899509.601038 input_key_build: 0x10e260 (F6) is \033[17~
1773899509.601039 input_key_build: 0x10e261 (F7) is \033[18~
1773899509.601041 input_key_build: 0x10e262 (F8) is \033[19~
1773899509.601043 input_key_build: 0x10e263 (F9) is \033[20~
1773899509.601044 input_key_build: 0x10e264 (F10) is \033[21~
1773899509.601046 input_key_build: 0x10e265 (F11) is \033[23~
1773899509.601048 input_key_build: 0x10e266 (F12) is \033[24~
1773899509.601050 input_key_build: 0x10e267 (IC) is \033[2~
1773899509.601052 input_key_build: 0x10e268 (DC) is \033[3~
1773899509.601053 input_key_build: 0x10e269 (Home) is \033[1~
1773899509.601056 input_key_build: 0x10e26a (End) is \033[4~
1773899509.601058 input_key_build: 0x10e26b (NPage) is \033[6~
1773899509.601060 input_key_build: 0x10e26c (PPage) is \033[5~
1773899509.601062 input_key_build: 0x10e26d (BTab) is \033[Z
1773899509.601064 input_key_build: 0x10e26e (Up) is \033[A
1773899509.601066 input_key_build: 0x10e26f (Down) is \033[B
1773899509.601068 input_key_build: 0x10e270 (Left) is \033[D
1773899509.601069 input_key_build: 0x10e271 (Right) is \033[C
1773899509.601071 input_key_build: 0x10e272 (KP/) is /
1773899509.601073 input_key_build: 0x10e273 (KP*) is *
1773899509.601074 input_key_build: 0x10e274 (KP-) is -
1773899509.601076 input_key_build: 0x10e275 (KP7) is 7
1773899509.601078 input_key_build: 0x10e276 (KP8) is 8
1773899509.601079 input_key_build: 0x10e277 (KP9) is 9
1773899509.601081 input_key_build: 0x10e278 (KP+) is +
1773899509.601083 input_key_build: 0x10e279 (KP4) is 4
1773899509.601084 input_key_build: 0x10e27a (KP5) is 5
1773899509.601086 input_key_build: 0x10e27b (KP6) is 6
1773899509.601087 input_key_build: 0x10e27c (KP1) is 1
1773899509.601089 input_key_build: 0x10e27d (KP2) is 2
1773899509.601091 input_key_build: 0x10e27e (KP3) is 3
1773899509.601093 input_key_build: 0x10e27f (KPEnter) is \n
1773899509.601094 input_key_build: 0x10e280 (KP0) is 0
1773899509.601096 input_key_build: 0x10e281 (KP.) is .
1773899509.601099 input_key_build: 0x10e282 (Invalid#10e282) is \033[?997;1n
1773899509.601102 input_key_build: 0x10e283 (Invalid#10e283) is \033[?997;2n
1773899509.601104 input_key_build: 0x20000010e25b (C-F1) is \033[1;5P
1773899509.601106 input_key_build: 0x20000010e25c (C-F2) is \033[1;5Q
1773899509.601107 input_key_build: 0x20000010e25d (C-F3) is \033[1;5R
1773899509.601109 input_key_build: 0x20000010e25e (C-F4) is \033[1;5S
1773899509.601111 input_key_build: 0x20000010e25f (C-F5) is \033[15;5~
1773899509.601113 input_key_build: 0x20000010e260 (C-F6) is \033[17;5~
1773899509.601115 input_key_build: 0x20000010e261 (C-F7) is \033[18;5~
1773899509.601117 input_key_build: 0x20000010e262 (C-F8) is \033[19;5~
1773899509.601119 input_key_build: 0x20000010e263 (C-F9) is \033[20;5~
1773899509.601121 input_key_build: 0x20000010e264 (C-F10) is \033[21;5~
1773899509.601123 input_key_build: 0x20000010e265 (C-F11) is \033[23;5~
1773899509.601124 input_key_build: 0x20000010e266 (C-F12) is \033[24;5~
1773899509.601126 input_key_build: 0x20000010e267 (C-IC) is \033[2;5~
1773899509.601128 input_key_build: 0x20000010e268 (C-DC) is \033[3;5~
1773899509.601130 input_key_build: 0x20000010e269 (C-Home) is \033[1;5H
1773899509.601132 input_key_build: 0x20000010e26a (C-End) is \033[1;5F
1773899509.601134 input_key_build: 0x20000010e26b (C-NPage) is \033[6;5~
1773899509.601136 input_key_build: 0x20000010e26c (C-PPage) is \033[5;5~
1773899509.601141 input_key_build: 0x20000010e26e (C-Up) is \033[1;5A
1773899509.601143 input_key_build: 0x20000010e26f (C-Down) is \033[1;5B
1773899509.601144 input_key_build: 0x20000010e270 (C-Left) is \033[1;5D
1773899509.601146 input_key_build: 0x20000010e271 (C-Right) is \033[1;5C
1773899509.601148 input_key_build: 0x40000010e25b (S-F1) is \033[1;2P
1773899509.601150 input_key_build: 0x40000010e25c (S-F2) is \033[1;2Q
1773899509.601152 input_key_build: 0x40000010e25d (S-F3) is \033[1;2R
1773899509.601153 input_key_build: 0x40000010e25e (S-F4) is \033[1;2S
1773899509.601155 input_key_build: 0x40000010e25f (S-F5) is \033[15;2~
1773899509.601157 input_key_build: 0x40000010e260 (S-F6) is \033[17;2~
1773899509.601159 input_key_build: 0x40000010e261 (S-F7) is \033[18;2~
1773899509.601160 input_key_build: 0x40000010e262 (S-F8) is \033[19;2~
1773899509.601162 input_key_build: 0x40000010e263 (S-F9) is \033[20;2~
1773899509.601164 input_key_build: 0x40000010e264 (S-F10) is \033[21;2~
1773899509.601166 input_key_build: 0x40000010e265 (S-F11) is \033[23;2~
1773899509.601167 input_key_build: 0x40000010e266 (S-F12) is \033[24;2~
